name,website,phone,address,emails_found
Tryon Medical Partners - Uptown,https://tryonmed.com/,(704) 495-6334,"201 S College St 12th floor, Charlotte, NC 28202, USA",
Novant Health First Charlotte Physicians Elizabeth,https://www.novanthealth.org/locations/clinics/first-charlotte-physicians-elizabeth/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-094,(704) 384-7085,"1942 E 7th St Suite 200, Charlotte, NC 28204, USA",
Charlotte Medical Center,http://www.charlottemedcenter.com/,(704) 542-2500,"10340 Park Rd Suite A, Charlotte, NC 28210, USA",
Atrium Health Primary Care Carmel Family Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-carmel-family-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 667-3600,"10000 Park Cedar Dr, Charlotte, NC 28210, USA",
Carolina Family Healthcare,http://www.carolinafamilyhealthcare.com/,(704) 847-4000,"11220 Elm Ln STE 102, Charlotte, NC 28277, USA",info@carolinafamilyhc.com
Atrium Health CMC Elizabeth Family Medicine,https://atriumhealth.org/locations/detail/atrium-health-cmc-elizabeth-family-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 304-7000,"2001 Vail Ave #400, Charlotte, NC 28207, USA",
Novant Health Randolph Family Medicine,https://www.novanthealth.org/locations/clinics/randolph-family-medicine/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-326,(704) 384-1354,"1918 Randolph Rd #275, Charlotte, NC 28207, USA",
"Jill Rabassa, MD",https://www.novanthealth.org/pf/providers/1609849694?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1609849694,(704) 355-5100,"1918 Randolph Rd #275, Charlotte, NC 28207, USA",
Atrium Health Primary Care Charlotte Medical Clinic,https://atriumhealth.org/locations/detail/atrium-health-primary-care-charlotte-medical-clinic-southpark?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 863-1550,"4525 Cameron Valley Pkwy, Charlotte, NC 28211, USA",
Atrium Health Primary Care East Charlotte Family Physicians,https://atriumhealth.org/locations/detail/atrium-health-primary-care-east-charlotte-family-physicians?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 667-0670,"5801 Executive Center Dr #100, Charlotte, NC 28212, USA",
Atrium Health Primary Care One Health Family Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-one-health-family-medicine-rea-village?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 495-6025,"11530 Providence Rd #2300, Charlotte, NC 28277, USA",
Tryon Medical Partners - Pineville,https://www.tryonmed.com/location/pineville/,(704) 381-0260,"Park 51 Center, 10635 Park Rd Suite I, Charlotte, NC 28210, USA",
Atrium Health Primary Care Dilworth Family Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-dilworth-family-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 510-8000,"1900 Scott Ave Suite 201B, Charlotte, NC 28203, USA",
Novant Health University Family Physicians,https://www.novanthealth.org/locations/clinics/university-family-physicians/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-398,(704) 384-8680,"10810 Mallard Creek Rd, Charlotte, NC 28262, USA",
Novant Health Cotswold Medical Clinic,https://www.novanthealth.org/locations/clinics/cotswold-medical-clinic/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-065,(704) 318-2373,"200 Greenwich Rd, Charlotte, NC 28211, USA",
"Priority Care, PC - Dr. Melissa Jones, DO",http://melissajonesdo.com/,(704) 542-2191,"2132 McClintock Rd, Charlotte, NC 28205, USA",
Carolina Medical Associates,https://carolinamedassoc.com/?utm_source=gmb&utm_medium=referral,(704) 532-4567,"7108 Pineville-Matthews Rd #102, Charlotte, NC 28226, USA",info@carolinamedassoc.com
